date_recovered,province,cumulative_recovered
24-10-2020,Manitoba,2116.0
23-10-2020,Manitoba,2032.0
22-10-2020,Manitoba,1920.0
21-10-2020,Manitoba,1809.0
20-10-2020,Manitoba,1703.0
19-10-2020,Manitoba,1597.0
18-10-2020,Manitoba,1587.0
17-10-2020,Manitoba,1572.0
16-10-2020,Manitoba,1553.0
15-10-2020,Manitoba,1533.0
14-10-2020,Manitoba,1514.0
13-10-2020,Manitoba,1496.0
12-10-2020,Manitoba,1490.0
11-10-2020,Manitoba,1483.0
10-10-2020,Manitoba,1475.0
09-10-2020,Manitoba,1465.0
08-10-2020,Manitoba,1454.0
07-10-2020,Manitoba,1448.0
06-10-2020,Manitoba,1441.0
05-10-2020,Manitoba,1429.0
04-10-2020,Manitoba,1421.0
03-10-2020,Manitoba,1409.0
02-10-2020,Manitoba,1399.0
01-10-2020,Manitoba,1388.0
30-09-2020,Manitoba,1374.0
29-09-2020,Manitoba,1327.0
28-09-2020,Manitoba,1281.0
27-09-2020,Manitoba,1272.0
26-09-2020,Manitoba,1265.0
25-09-2020,Manitoba,1258.0
24-09-2020,Manitoba,1243.0
23-09-2020,Manitoba,1238.0
22-09-2020,Manitoba,1234.0
21-09-2020,Manitoba,1227.0
20-09-2020,Manitoba,1216.0
19-09-2020,Manitoba,1211.0
18-09-2020,Manitoba,1199.0
17-09-2020,Manitoba,1191.0
16-09-2020,Manitoba,1190.0
15-09-2020,Manitoba,1181.0
14-09-2020,Manitoba,1176.0
13-09-2020,Manitoba,1173.0
12-09-2020,Manitoba,1156.0
11-09-2020,Manitoba,1090.0
10-09-2020,Manitoba,1002.0
09-09-2020,Manitoba,945.0
08-09-2020,Manitoba,940.0
07-09-2020,Manitoba,910.0
06-09-2020,Manitoba,898.0
05-09-2020,Manitoba,852.0
04-09-2020,Manitoba,835.0
03-09-2020,Manitoba,791.0
02-09-2020,Manitoba,776.0
01-09-2020,Manitoba,759.0
31-08-2020,Manitoba,731.0
30-08-2020,Manitoba,710.0
29-08-2020,Manitoba,693.0
28-08-2020,Manitoba,664.0
27-08-2020,Manitoba,643.0
26-08-2020,Manitoba,622.0
25-08-2020,Manitoba,606.0
24-08-2020,Manitoba,586.0
23-08-2020,Manitoba,576.0
22-08-2020,Manitoba,570.0
21-08-2020,Manitoba,553.0
20-08-2020,Manitoba,537.0
19-08-2020,Manitoba,528.0
18-08-2020,Manitoba,502.0
17-08-2020,Manitoba,490.0
16-08-2020,Manitoba,483.0
15-08-2020,Manitoba,443.0
14-08-2020,Manitoba,389.0
13-08-2020,Manitoba,377.0
12-08-2020,Manitoba,368.0
11-08-2020,Manitoba,360.0
10-08-2020,Manitoba,354.0
09-08-2020,Manitoba,352.0
08-08-2020,Manitoba,351.0
07-08-2020,Manitoba,351.0
